,ao_hechos,delito,categoria_delito,longitud,latitud
1019738,2021,VIOLACION,VIOLACIÓN,-99.12026413035541,19.4591003281168
1019818,2021,VIOLACION,VIOLACIÓN,-99.11289095986331,19.413513076250698
1020622,2021,VIOLACION,VIOLACIÓN,-99.1807834798015,19.3685559534477
1021372,2021,VIOLACION,VIOLACIÓN,-98.97400080960699,19.3081932700088
1022819,2021,VIOLACION,VIOLACIÓN,-99.072859659657,19.249369629892897
1022868,2021,VIOLACION,VIOLACIÓN,-99.0382987298769,19.2751168121748
1022999,2021,VIOLACION,VIOLACIÓN,-99.1177967201286,19.279751143128898
1023072,2021,VIOLACION,VIOLACIÓN,-99.0783414201227,19.439242957559603
1023442,2021,VIOLACION,VIOLACIÓN,-99.0269951800942,19.187404560267197
1023544,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.18972865011601,19.4594380254928
1023862,2021,VIOLACION,VIOLACIÓN,-99.3093426597135,19.3549959113572
1023864,2021,VIOLACION,VIOLACIÓN,-99.1214977199812,19.451261586984
1023901,2021,VIOLACION,VIOLACIÓN,-99.2284087801906,19.323510977163103
1024298,2021,VIOLACION TUMULTUARIA,VIOLACIÓN,-99.05543574972859,19.3354638059098
1024401,2021,VIOLACION,VIOLACIÓN,-99.1604027198812,19.490129697000302
1024635,2021,VIOLACION,VIOLACIÓN,-99.1241625101732,19.5492306469999
1024739,2021,VIOLACION,VIOLACIÓN,-99.06800306965928,19.419411673330398
1024853,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1776176602001,19.3948567934093
1024950,2021,VIOLACION,VIOLACIÓN,-99.2896990501005,19.365886350283
1025459,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.00993794031851,19.2488264360704
1025699,2021,VIOLACION,VIOLACIÓN,-99.100332859604,19.46407124717
1025755,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1904479300606,19.472227160046803
1026258,2021,VIOLACION,VIOLACIÓN,-99.17697719999559,19.2574166612548
1026636,2021,VIOLACION,VIOLACIÓN,-99.19827416991801,19.3326050007348
1026642,2021,VIOLACION,VIOLACIÓN,-99.06134783974991,19.423596200894
1026705,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.06122044027279,19.2972688868499
1026740,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0773981798057,19.4920011272723
1026904,2021,VIOLACION,VIOLACIÓN,-99.0313720096137,19.2818576553218
1027168,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.08589237972471,19.2574804735478
1027297,2021,VIOLACION,VIOLACIÓN,-99.10919724025351,19.459439719568802
1027691,2021,VIOLACION,VIOLACIÓN,-99.0627229198193,19.474898301538698
1027776,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1050736898817,19.379167818079
1027886,2021,VIOLACION,VIOLACIÓN,-99.1504358504666,19.2440702819692
1028379,2021,VIOLACION,VIOLACIÓN,-99.20372599957571,19.501809746206103
1028458,2021,VIOLACION,VIOLACIÓN,-99.11861524021592,19.4411675523298
1028502,2021,VIOLACION,VIOLACIÓN,-99.1054344197768,19.263032910959
1028686,2021,VIOLACION,VIOLACIÓN,-99.16608005985408,19.335336059159
1028834,2021,VIOLACION,VIOLACIÓN,-99.0969011898841,19.452722062572697
1029053,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.06573503994129,19.302748257363397
1030056,2021,VIOLACION,VIOLACIÓN,-99.1759282400392,19.417410980919897
1030158,2021,VIOLACION,VIOLACIÓN,-99.16006475972151,19.312824465619602
1030440,2021,VIOLACION,VIOLACIÓN,-99.14786263040709,19.368004319715
1030470,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.150329809965,19.316125893166397
1030471,2021,VIOLACION,VIOLACIÓN,-99.1197957101647,19.4073900368278
1030695,2021,VIOLACION,VIOLACIÓN,-99.0784719596496,19.3335239098115
1030735,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1509416700128,19.316185956323398
1031215,2021,VIOLACION,VIOLACIÓN,-99.04427878009821,19.2853188311699
1031338,2021,VIOLACION,VIOLACIÓN,-99.16875153974621,19.4329448191266
1031585,2021,VIOLACION,VIOLACIÓN,-99.0575827396526,19.359494811679802
1031586,2021,VIOLACION,VIOLACIÓN,-99.03332009996349,19.3707624502699
1032041,2021,VIOLACION,VIOLACIÓN,-99.0992331504435,19.3383554226068
1032231,2021,VIOLACION,VIOLACIÓN,-99.2224663495376,19.3429947891197
1032280,2021,VIOLACION,VIOLACIÓN,-99.10024702980759,19.374285959733104
1032590,2021,VIOLACION,VIOLACIÓN,-99.10403645042611,19.3973474331028
1032767,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0373691199037,19.3230780837222
1032785,2021,VIOLACION,VIOLACIÓN,-99.17116435980431,19.412014982637103
1032823,2021,VIOLACION,VIOLACIÓN,-99.2180722199828,19.374159355383803
1032842,2021,VIOLACION,VIOLACIÓN,-99.2429143901585,19.3166599492378
1033591,2021,VIOLACION,VIOLACIÓN,-99.16209340035309,19.364338967410603
1033671,2021,VIOLACION,VIOLACIÓN,-99.2043113701568,19.307096102895102
1033838,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.13084790010029,19.424384913130396
1034084,2021,VIOLACION,VIOLACIÓN,-99.20918184977329,19.265516121653
1034238,2021,VIOLACION,VIOLACIÓN,-99.1501879703405,19.544263581685602
1034243,2021,VIOLACION,VIOLACIÓN,-99.2149856696033,19.4565525875799
1034254,2021,VIOLACION,VIOLACIÓN,-99.2310476304065,19.3420249837215
1034316,2021,VIOLACION,VIOLACIÓN,-99.14665460957261,19.4372862357541
1034394,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.10882473004851,19.3918239335948
1034420,2021,VIOLACION,VIOLACIÓN,-99.2080128203445,19.3741460256411
1034500,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1377921399892,19.4000337160967
1034784,2021,VIOLACION,VIOLACIÓN,-99.3182849603423,19.3522738093867
1035111,2021,VIOLACION,VIOLACIÓN,-99.23187062003271,19.2742608655213
1035162,2021,VIOLACION,VIOLACIÓN,-99.10985961961109,19.2399453853233
1035356,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1612860998089,19.3193562805477
1036045,2021,VIOLACION,VIOLACIÓN,-99.05207991959541,19.298862700910302
1036497,2021,VIOLACION,VIOLACIÓN,-99.16482209975229,19.2351894704797
1036750,2021,VIOLACION,VIOLACIÓN,-99.09362018045591,19.3747178758717
